hjit37_smoke	1.714438	hjit h37 val@2026-01-07 (window!=standard VAL); tw1.45-on-log champion cfg gap30 n2; it=276; direct_champ=1.6927 d=+0.0217; direct_h30@same_anchor=1.708567 horizon_cost=+0.0059; err_corr_vs_twl_repair_ab=0.8492
hjit44_smoke	1.736203	hjit h44 val@2025-12-31 (window!=standard VAL); tw1.45-on-log champion cfg gap30 n2; it=80; direct_champ=1.6927 d=+0.0435; direct_h30@same_anchor=1.724492 horizon_cost=+0.0117; err_corr_vs_twl_repair_ab=0.7420
hjit37_smokepath	1.716916	hjit h37 val@2026-01-07 (window!=standard VAL); tw1.45-on-log champion cfg gap30 n2; it=60; direct_champ=1.6927 d=+0.0242; err_corr_vs_twl_repair_ab=0.8454
hjit44_smokepath	1.737691	hjit h44 val@2025-12-31 (window!=standard VAL); tw1.45-on-log champion cfg gap30 n2; it=60; direct_champ=1.6927 d=+0.0450; err_corr_vs_twl_repair_ab=0.7386
hjit37	1.712699	hjit h37 val@2026-01-07 (window!=standard VAL); tw1.45-on-log champion cfg gap30 n14; it=441; direct_champ=1.6927 d=+0.0200; direct_h30@same_anchor=1.698800 horizon_cost=+0.0139; err_corr_vs_twl_repair_ab=0.8513
hjit44	1.735944	hjit h44 val@2025-12-31 (window!=standard VAL); tw1.45-on-log champion cfg gap30 n14; it=67; direct_champ=1.6927 d=+0.0432; direct_h30@same_anchor=1.714514 horizon_cost=+0.0214; err_corr_vs_twl_repair_ab=0.7400
twl_v7	1.694155	twl champion cfg + v7 HMM-sim MC tier (hmm_elog/p_zero/sim_std), 8 anchors by v7 coverage
twl_v7ctl	1.694804	CONTROL for twl_v7: identical cfg/anchors, v2/v3/v4 WITHOUT v7 tier
twl_v7_s1337	1.693129	lgb/log_mse
twl_v7ctl_s1337	1.692989	lgb/log_mse
quantint_smoke	1.697502	quantile-integration K=8 (smoke8) trap/lin mono=sort; lgb quantile nl255 mdl300 lr0.05 gap30 n2; cross=0.0210; direct_champ=1.6927 d=+0.0048; same_slice_direct=1.697238 d=+0.0003 err_corr_direct=0.9977
blend_clean	1.667481	NNLS clean-only OOF, {'mlpziln_cal': 0.349, 'mlpbin_cal': 0.116, 'channel3_chcal': 0.011, 'channel2_cal': 0.077, 'countaov_cal': 0.277, 'seq2tr_f': 0.035, 'fusion_f': 0.058, 'hmmsim': 0.024, 'behavonly': 0.041}
twl_v7_cal	1.669648	binned log-shift calibration of twl_v7; holdout 1.694723->1.670434
c_ts2_s42_cal	1.668343	binned log-shift calibration of c_ts2_s42; holdout 1.693628->1.668966
fusion_f_cal	1.668794	binned log-shift calibration of fusion_f; holdout 1.685224->1.669033
seq2tr_f_cal	1.681392	binned log-shift calibration of seq2tr_f; holdout 1.710216->1.681577
hmmsim_cal	1.760232	binned log-shift calibration of hmmsim; holdout 1.820725->1.758109
behavonly_cal	1.686534	binned log-shift calibration of behavonly; holdout 1.712170->1.686294
short14_cal	1.819178	binned log-shift calibration of short14; holdout 1.826546->1.817449
